Folio,Grado,Sexo,Edad,Autoconsciencia1,Autoconsciencia2,Autoconsciencia3,Eficacia1,Eficacia2,Eficacia3,Persistencia1,Persistencia2,Persistencia3,ApoyoEscuela1,ApoyoEscuela2,ApoyoEscuela3,CoherenciaFam1,CoherenciaFam2,CoherenciaFam3,Compañerismo1,Compañerismo2,Compañerismo3,RegulaciónEmo1,RegulaciónEmo2,RegulaciónEmo3,Empatía1,Empatía2,Empatía3,ControlConducta1,ControlConducta2,ControlConducta3,Optimismo1,Optimismo2,Optimismo3,Entusiasmo1,Entusiasmo2,Entusiasmo3,Gratitud1,Gratitud2,Gratitud3,Gratitud4
1439,2,2,14,2,3,2,3,2,3,2,,4,4,3,3,4,4,4,4,4,4,3,4,3,4,4,2,3,3,4,3,4,4,3,2,4,4,4,3,4
1440,2,2,15,4,4,3,4,2,4,3,3,4,4,4,4,2,3,2,4,4,4,3,4,3,4,4,4,3,3,3,4,4,4,4,3,2,2,3,4,4
1441,2,1,14,4,3,3,4,2,1,2,3,4,4,1,3,3,4,3,1,2,3,4,4,3,4,4,4,1,2,1,3,1,1,5,5,5,5,1,3,1
1442,2,1,15,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,4,4
1444,2,1,15,3,4,2,4,1,3,3,3,3,4,3,4,2,2,4,4,1,4,3,3,3,1,3,3,3,3,3,4,4,4,5,5,5,3,3,3,3
1445,2,1,14,4,3,3,4,4,3,4,2,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,3,3,4,3,4,4,5,5,3,4,4,4,4
1446,2,1,14,4,4,3,4,4,4,3,2,3,4,4,4,4,4,4,2,2,2,4,4,4,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5
1447,2,1,14,3,3,4,4,4,4,4,3,2,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,3,3,3,4,3,4,4,4,5,4,4,4,4
1448,2,2,15,3,4,4,3,4,4,4,3,4,3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4
1449,2,2,15,4,4,3,4,4,3,2,3,,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,5,4,4,5,4
1450,2,1,15,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,4,3,4,4,5,5,3,4,4,5,4
1451,2,2,15,4,3,3,4,3,4,3,2,2,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,3,4,4,3,3,5,5
1452,2,2,15,4,4,3,4,3,4,2,3,3,,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,3,3,4,4,3,4,3,3,3,4,4,4
1453,2,2,15,3,4,4,4,3,3,4,3,4,4,4,4,4,4,4,3,4,4,3,4,3,4,3,3,4,3,4,4,4,4,4,4,5,4,5,5,4
1454,2,2,15,3,4,3,4,4,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,3,4,3,3,4,3,4,4,3,4,5,5,5,5,5,5,5
1455,2,1,15,3,4,4,4,3,3,2,4,3,3,4,4,3,4,4,4,3,4,3,4,3,4,3,3,3,4,4,4,4,3,4,4,3,4,4,4,4
1456,2,1,14,3,3,2,4,3,3,3,2,3,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,4,4,4,4,5,5,5,5,5,5
1457,3,2,15,4,4,3,4,4,3,3,2,3,4,3,4,4,4,4,2,3,4,4,4,3,4,4,3,3,4,3,4,4,4,4,4,2,2,4,5,3
1458,3,2,16,4,4,4,4,3,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,5,5,5,5,5,5
1459,3,2,15,4,4,3,4,3,3,3,2,2,4,3,4,3,4,3,4,4,4,4,3,3,3,3,,3,,3,4,4,,5,4,4,4,3,3,3
1460,3,2,16,4,3,3,4,4,4,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,5,5,5,5,4
1461,3,1,16,4,4,3,4,4,4,3,3,2,4,4,4,3,3,2,4,4,4,3,2,3,3,4,3,4,2,3,4,4,4,4,5,5,4,4,1,4
1462,3,2,15,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,5,5,4,5,5
1463,3,1,15,4,4,4,4,4,4,3,3,2,3,4,4,3,3,3,2,1,2,3,2,2,1,2,2,2,2,3,2,4,4,3,4,4,4,3,1,4
1464,3,2,16,3,4,3,4,2,2,1,3,4,4,4,4,4,2,3,4,4,4,4,2,3,4,3,2,3,2,3,4,4,4,4,3,5,5,4,5,3
1465,3,1,15,4,4,3,4,4,3,3,4,2,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,3,4,4,4,4,3,5,5
1466,3,1,15,4,4,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,3,4,4,3,4,4,3,4,2,3,4,4,4,5,5,5,5,5,5,4
1467,3,1,15,4,3,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,5,4,4,4,3,4,4
1468,3,1,15,4,3,3,4,3,3,2,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5
1469,3,2,16,3,2,2,3,4,4,1,2,2,1,1,3,4,4,3,4,3,2,2,3,4,4,4,4,2,3,2,3,3,4,3,3,3,3,3,4,4
1470,3,2,16,3,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,5,5,5,4,5,5
1471,3,2,15,3,3,4,3,2,3,3,2,3,4,3,4,3,3,3,4,3,4,4,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,4,3
1472,3,1,16,3,4,3,3,2,3,2,2,2,1,2,2,4,4,3,3,3,4,3,4,3,2,3,3,2,3,3,4,4,3,3,3,4,4,3,4,4
1473,3,1,15,4,4,3,4,3,2,2,3,4,4,3,4,4,4,4,4,4,4,3,2,2,4,3,3,3,4,2,4,4,4,4,4,4,4,5,5,5
1474,3,1,15,4,3,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,5,5,5,5,4
1475,3,1,15,4,3,4,4,3,3,,4,4,4,4,,4,4,4,4,4,4,4,3,2,4,3,4,4,2,4,4,4,4,5,5,5,5,4,4,4
1476,3,1,15,3,3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4
1477,3,1,16,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,4,4,4,3,4,3,3,4,4,4,4,3,4,4,4,4,3,4,4,5,5,4
1478,3,2,15,2,3,3,4,3,2,2,3,4,2,2,1,1,2,1,4,4,4,3,2,3,3,4,4,3,4,3,1,1,2,4,4,4,3,3,2,2
1479,3,1,15,4,4,3,4,3,3,3,3,2,4,4,4,4,4,3,4,4,4,3,3,4,4,3,3,4,3,3,4,4,3,5,5,4,4,3,4,4
1480,3,1,15,4,,3,3,4,2,2,2,3,4,3,4,4,3,4,4,4,4,1,3,3,4,4,3,3,4,2,3,4,4,,4,3,4,3,4,3
1481,3,1,15,2,4,4,4,3,2,2,2,1,4,3,3,3,4,4,4,4,3,2,3,3,4,3,3,4,4,1,4,4,4,5,5,4,3,5,4,4
1482,3,2,16,3,3,3,4,4,3,2,3,3,3,3,4,4,3,3,3,3,4,4,3,3,3,3,3,4,,3,4,3,3,4,5,4,4,4,4,4
1483,3,1,16,3,3,3,2,2,2,2,2,1,4,3,3,2,1,2,3,2,,2,2,3,4,3,3,3,2,2,3,2,3,2,2,3,2,2,3,2
