"","Grado","Sexo","Edad","Autoconsciencia","Eficacia","Persistencia","ApoyoEscuela","CoherenciaFam","Compañerismo","RegulaciónEmo","Empatía","ControlConducta","Optimismo","Entusiasmo","Gratitud"
"1116",1,1,14,4,3.33333333333333,2.66666666666667,4,3.33333333333333,4,4,3.66666666666667,4,4,4.66666666666667,5
"1117",1,2,13,3.33333333333333,3,2,2.66666666666667,3.33333333333333,3,2.66666666666667,3.33333333333333,2.66666666666667,3,3,3
"1118",1,1,13,3.66666666666667,4,3,1.33333333333333,2,4,4,4,3.66666666666667,2,3.66666666666667,2.66666666666667
"1119",1,2,13,4,3.33333333333333,3.66666666666667,4,3,4,3.66666666666667,4,3.33333333333333,3.66666666666667,3.33333333333333,4
"1120",1,2,13,3.33333333333333,3.66666666666667,3,3.66666666666667,3.66666666666667,2.33333333333333,3,2.66666666666667,3.66666666666667,4,3.33333333333333,3
"1121",1,1,13,4,3.33333333333333,2.66666666666667,3.33333333333333,3.33333333333333,3.66666666666667,3,3,4,3.66666666666667,4,3.66666666666667
"1122",1,1,13,2.66666666666667,3.66666666666667,3.33333333333333,4,4,3.66666666666667,3,2.33333333333333,2.66666666666667,4,4,3.66666666666667
"1123",1,1,13,3.33333333333333,3.66666666666667,2.66666666666667,3.33333333333333,4,4,3.66666666666667,3,3.33333333333333,4,4,4
"1124",1,1,13,2.66666666666667,3.66666666666667,3,4,3,4,3.33333333333333,3.66666666666667,3.33333333333333,4,4.33333333333333,2.66666666666667
"1125",1,2,13,3.33333333333333,3.66666666666667,1.66666666666667,3.66666666666667,4,3.66666666666667,3.33333333333333,4,3,3,3.33333333333333,4.33333333333333
"1126",1,2,13,3.33333333333333,2.33333333333333,4,2.66666666666667,2.66666666666667,4,3.33333333333333,3.66666666666667,2,4,3.33333333333333,3.33333333333333
"1127",1,2,13,3.33333333333333,4,3,3.33333333333333,3.66666666666667,4,3.33333333333333,4,3.33333333333333,3.66666666666667,5,4.33333333333333
"1128",1,1,13,3.33333333333333,3.66666666666667,2.33333333333333,3.66666666666667,3.66666666666667,4,3.66666666666667,4,3,4,4.33333333333333,4.66666666666667
"1129",1,2,13,3.33333333333333,3,2.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667,3,3.66666666666667,3,3,4.33333333333333,2.66666666666667
"1130",1,1,13,3.33333333333333,3,2.33333333333333,3,2.5,3.33333333333333,2.66666666666667,3,3,4,3.66666666666667,4
"1131",1,2,13,2,2,2,2,2,2,2.33333333333333,2,2,2.33333333333333,2,2
"1132",1,1,13,2.5,2.66666666666667,1.33333333333333,2.33333333333333,3,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,3.33333333333333,3.66666666666667,4
"1133",2,1,15,3.66666666666667,3.66666666666667,2.33333333333333,4,3.33333333333333,3,3.33333333333333,2.66666666666667,3.33333333333333,4,4.66666666666667,3.33333333333333
"1134",2,2,15,3,2.66666666666667,2.33333333333333,2.33333333333333,2.33333333333333,4,2.66666666666667,4,2.33333333333333,3.33333333333333,3.66666666666667,3.33333333333333
"1135",3,1,15,2.33333333333333,2.33333333333333,3,3.33333333333333,2.33333333333333,2,3,3,3,3,3,3
"1136",2,1,15,3,3,3,3,3,4,4,4,4,4,4.33333333333333,5
"1137",2,2,14,3.66666666666667,3.66666666666667,3.33333333333333,3.33333333333333,3,4,2.66666666666667,4,3.33333333333333,4,3.66666666666667,4.33333333333333
"1138",2,2,15,2.66666666666667,3.33333333333333,3.66666666666667,3.66666666666667,3.33333333333333,4,2.66666666666667,4,2.33333333333333,4,5,5
"1139",3,2,15,3,3,2.66666666666667,3,2.33333333333333,3,3.66666666666667,3,3,3.5,3,3
"1140",1,1,13,3,2.66666666666667,2.33333333333333,1.33333333333333,3.33333333333333,2.33333333333333,2,2,4,2,3,3.66666666666667
"1141",1,1,13,3.66666666666667,3,2.66666666666667,3,4,3.33333333333333,3,2.66666666666667,2.66666666666667,4,4,3
"1142",1,1,13,2.66666666666667,3.66666666666667,2.66666666666667,2.66666666666667,4,3.33333333333333,3.33333333333333,3,3,4,3,3
"1143",1,1,13,2.33333333333333,4,1.66666666666667,1.5,3.33333333333333,2.66666666666667,1.33333333333333,2.33333333333333,3,3.33333333333333,3.33333333333333,3.66666666666667
"1144",1,2,13,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,4,4,3,4,3.33333333333333,4,4.33333333333333,5
"1145",1,2,14,3,3.66666666666667,2,4,2.33333333333333,4,3,3,2.66666666666667,3.66666666666667,3.66666666666667,4
"1146",1,2,13,3.33333333333333,3.33333333333333,2,2.66666666666667,4,4,3.33333333333333,4,4,4,3.33333333333333,3.33333333333333
"1147",1,2,14,2.66666666666667,2.33333333333333,3.33333333333333,4,3.66666666666667,3.66666666666667,3.33333333333333,4,3.66666666666667,4,3,3
"1148",1,2,14,2.66666666666667,3,2.33333333333333,3.33333333333333,3,3.66666666666667,2.66666666666667,2.66666666666667,3,4,3,3.33333333333333
"1149",1,1,13,3.66666666666667,3.66666666666667,3.33333333333333,3.5,3.66666666666667,3,3.66666666666667,4,3.66666666666667,4,5,5
"1150",1,1,13,3.33333333333333,3.66666666666667,3,3.33333333333333,4,4,3.33333333333333,3.66666666666667,3.33333333333333,4,4,3.33333333333333
"1151",1,2,13,3.33333333333333,3.66666666666667,3,3,3.33333333333333,3.33333333333333,2.66666666666667,2.66666666666667,3,3.33333333333333,4.66666666666667,3.33333333333333
